% VITMO ModelWeb Browser Results
% iri2016 model listing
% Required input parameters
% Year= 2000., Month= 01, Day= 01, Hour=20.,
% Time_type = Universal
% Coordinate_type = Geographic
% Latitude= 69.8, Longitude= 20., Height= 100.
% Prof. parameters: Start= 100. Stop= 600. Step= 1.
% 
% Optional input parameters:
% Sunspot number(Rz12) =not specified
% F10.7 radio flux (daily)= not specified
% F10.7 radio flux (81-day)= not specified
% Ionospheric index(IG12) =not specified
% Upper limit for Electron content = not specified
% F peak model = URSI
% F-peak height = AMTB2013
% Ne Topside = NeQuick
% foF2 Storm model = on
% Bottomside Thickness = ABT-2009
% F1 occurrence probability = Scotto-1997 no L
% foE Storm model = off
% D-Region Ne = IRI-95
% Topside Te = BIL-1995
% Ion Composition = RBV10/TBT15
% NmF2 or foF2 not specified = 0.,
% hmF2 or M(3000)F2 not specified = 0.,
% NmE or foE not specified = 0.,
% Auroral boundary = on
% A value of -1 indicates that the parameter is not available for the specified range
% TEC=-1, means you have not entered an upper boundary height in the OPTIONAL INPUT section.
% 
%    Selected parameters are:
% 1 Height, km
% 2 Electron_density_Ne, m-3
% 3 Ti, K
% 4 Te, K
% 5 O_ions, %
% 6 H_ions, %
% 7 He_ions, %
% 8 O2_ions, %
% 9 NO_ions, %
% 10 Cluster_ions, %
% 11 N_ions, %
%
%      1            2      3      4     5     6     7     8     9    10    11
  142.00  0.73386E+09  679.2  679.2   0.1   0.0   0.0   1.8  98.1  -1.0   0.0
  143.00  0.75380E+09  689.3  691.5   0.1   0.0   0.0   1.9  98.0  -1.0   0.0
  144.00  0.77804E+09  699.2  703.5   0.1   0.0   0.0   2.0  97.9  -1.0   0.0
  145.00  0.80660E+09  708.8  715.2   0.1   0.0   0.0   2.1  97.9  -1.0   0.0
  146.00  0.83955E+09  718.2  726.5   0.1   0.0   0.0   2.1  97.8  -1.0   0.0
  147.00  0.87693E+09  727.3  737.4   0.1   0.0   0.0   2.1  97.8  -1.0   0.0
  148.00  0.91880E+09  736.1  747.9   0.1   0.0   0.0   2.2  97.7  -1.0   0.0
  149.00  0.96519E+09  744.8  758.0   0.1   0.0   0.0   2.2  97.7  -1.0   0.0
  150.00  0.10161E+10  753.2  767.6   0.1   0.0   0.0   2.3  97.6  -1.0   0.0
  151.00  0.10716E+10  761.4  776.6   0.1   0.0   0.0   2.4  97.5  -1.0   0.0
  152.00  0.11315E+10  769.4  785.2   0.2   0.0   0.0   2.5  97.4  -1.0   0.0
  153.00  0.11958E+10  777.2  793.3   0.2   0.0   0.0   2.6  97.2  -1.0   0.0
  154.00  0.12642E+10  784.8  800.9   0.2   0.0   0.0   2.7  97.1  -1.0   0.0
  155.00  0.13367E+10  792.2  808.1   0.2   0.0   0.0   2.8  97.0  -1.0   0.0
  156.00  0.14128E+10  799.4  814.8   0.3   0.0   0.0   2.9  96.8  -1.0   0.0
  157.00  0.14924E+10  806.4  821.2   0.3   0.0   0.0   3.1  96.6  -1.0   0.0
  158.00  0.15749E+10  813.2  827.2   0.3   0.0   0.0   3.2  96.5  -1.0   0.0
  159.00  0.16601E+10  819.9  833.0   0.4   0.0   0.0   3.4  96.3  -1.0   0.0
  160.00  0.17474E+10  826.4  838.4   0.4   0.0   0.0   3.5  96.1  -1.0   0.0
  161.00  0.18365E+10  832.7  843.6   0.5   0.0   0.0   3.7  95.9  -1.0   0.0
  162.00  0.19270E+10  838.9  848.6   0.5   0.0   0.0   3.8  95.6  -1.0   0.0
  163.00  0.20185E+10  844.9  853.5   0.6   0.0   0.0   4.0  95.4  -1.0   0.0
  164.00  0.21109E+10  850.7  858.2   0.6   0.0   0.0   4.2  95.2  -1.0   0.0
  165.00  0.22040E+10  856.4  862.7   0.7   0.0   0.0   4.4  94.9  -1.0   0.0
  166.00  0.22980E+10  861.9  867.2   0.8   0.0   0.0   4.5  94.7  -1.0   0.0
  167.00  0.23932E+10  867.4  871.6   0.8   0.0   0.0   4.7  94.4  -1.0   0.0
  168.00  0.24902E+10  872.6  875.9   0.9   0.0   0.0   4.9  94.2  -1.0   0.0
  169.00  0.25901E+10  877.8  880.1   1.0   0.0   0.0   5.1  93.9  -1.0   0.0
  170.00  0.26940E+10  882.8  884.3   1.1   0.0   0.0   5.3  93.6  -1.0   0.0
  171.00  0.28039E+10  887.6  888.4   1.2   0.0   0.0   5.5  93.3  -1.0   0.0
  172.00  0.29222E+10  892.4  892.6   1.3   0.0   0.0   5.8  92.9  -1.0   0.0
  173.00  0.30519E+10  897.0  897.0   1.4   0.0   0.0   6.0  92.5  -1.0   0.0
  174.00  0.31970E+10  901.5  901.5   1.6   0.0   0.0   6.3  92.1  -1.0   0.0
