% Input parameters
% year= 2000, month= 1, day= 1, hour= 1.50,
% Time_type = Universal
% Coordinate_type = Geographic
% latitude= 69.00, longitude= 20.00, height= 100.00
% Prof. parameters: start= 0.00 stop= 600.00 step= 1.00
% 
% Optional parametes: F10.7(daily) =not specified; F10.7(3-month avg) =not specified; ap(daily) = not specified
% 
%    Selected parameters are:
% 1 Height, km
% 2 O, cm-3 
% 3 N2, cm-3
% 4 O2, cm-3
% 5 Mass_density, g/cm-3
% 6 Temperature_neutral, K
% 
%      1          2          3          4         5      6
   68.0  0.000E+00  1.024E+15  2.710E+14 6.279E-08  232.8
   69.0  0.000E+00  8.933E+14  2.358E+14 5.475E-08  230.9
   70.0  0.000E+00  7.779E+14  2.049E+14 4.766E-08  229.3
   71.0  0.000E+00  6.762E+14  1.777E+14 4.141E-08  227.8
   72.0  0.000E+00  5.868E+14  1.538E+14 3.591E-08  226.6
   73.0  3.637E+06  5.076E+14  1.327E+14 3.105E-08  225.7
   74.0  9.438E+06  4.389E+14  1.145E+14 2.683E-08  225.0
   75.0  2.397E+07  3.790E+14  9.872E+13 2.316E-08  224.5
   76.0  5.916E+07  3.270E+14  8.500E+13 1.998E-08  224.2
   77.0  1.410E+08  2.821E+14  7.313E+13 1.722E-08  224.0
   78.0  3.226E+08  2.432E+14  6.290E+13 1.484E-08  223.8
   79.0  7.057E+08  2.097E+14  5.409E+13 1.279E-08  223.5
   80.0  1.471E+09  1.809E+14  4.651E+13 1.102E-08  223.2
   81.0  2.915E+09  1.561E+14  4.001E+13 9.503E-09  222.7
   82.0  5.483E+09  1.348E+14  3.443E+13 8.199E-09  222.0
   83.0  9.787E+09  1.164E+14  2.964E+13 7.078E-09  221.1
   84.0  1.658E+10  1.007E+14  2.553E+13 6.114E-09  219.9
   85.0  2.670E+10  8.709E+13  2.199E+13 5.285E-09  218.3
   86.0  4.091E+10  7.540E+13  1.896E+13 4.572E-09  216.3
   87.0  5.977E+10  6.531E+13  1.634E+13 3.957E-09  214.0
   88.0  8.349E+10  5.659E+13  1.409E+13 3.425E-09  211.1
   89.0  1.118E+11  4.905E+13  1.214E+13 2.966E-09  207.9
   90.0  1.437E+11  4.250E+13  1.046E+13 2.568E-09  204.2
   91.0  1.780E+11  3.680E+13  9.001E+12 2.222E-09  200.0
   92.0  2.127E+11  3.180E+13  7.724E+12 1.918E-09  195.8
   93.0  2.455E+11  2.738E+13  6.602E+12 1.651E-09  191.5
   94.0  2.744E+11  2.347E+13  5.613E+12 1.414E-09  187.6
   95.0  2.976E+11  2.001E+13  4.743E+12 1.205E-09  184.1
   96.0  3.137E+11  1.696E+13  3.981E+12 1.021E-09  181.2
   97.0  3.222E+11  1.428E+13  3.319E+12 8.592E-10  179.0
   98.0  3.231E+11  1.195E+13  2.746E+12 7.188E-10  177.6
   99.0  3.173E+11  9.943E+12  2.256E+12 5.976E-10  177.2
  100.0  3.055E+11  8.220E+12  1.840E+12 4.938E-10  178.0
  101.0  2.893E+11  6.759E+12  1.491E+12 4.057E-10  180.1
  102.0  2.701E+11  5.535E+12  1.202E+12 3.321E-10  183.4
  103.0  2.493E+11  4.524E+12  9.664E+11 2.712E-10  188.0
  104.0  2.282E+11  3.695E+12  7.757E+11 2.214E-10  193.7
  105.0  2.076E+11  3.020E+12  6.225E+11 1.808E-10  200.7
  106.0  1.879E+11  2.473E+12  5.002E+11 1.480E-10  208.8
  107.0  1.695E+11  2.031E+12  4.029E+11 1.215E-10  218.1
  108.0  1.526E+11  1.675E+12  3.256E+11 1.002E-10  228.5
  109.0  1.373E+11  1.388E+12  2.644E+11 8.297E-11  239.9
  110.0  1.237E+11  1.157E+12  2.159E+11 6.914E-11  252.1
  111.0  1.116E+11  9.709E+11  1.775E+11 5.802E-11  264.9
  112.0  1.009E+11  8.201E+11  1.469E+11 4.901E-11  278.2
  113.0  9.148E+10  6.973E+11  1.223E+11 4.167E-11  292.0
  114.0  8.310E+10  5.965E+11  1.025E+11 3.566E-11  306.4
  115.0  7.566E+10  5.133E+11  8.646E+10 3.069E-11  321.1
  116.0  6.906E+10  4.442E+11  7.334E+10 2.657E-11  336.3
  117.0  6.319E+10  3.866E+11  6.256E+10 2.314E-11  351.8
  118.0  5.796E+10  3.382E+11  5.366E+10 2.025E-11  367.6
  119.0  5.331E+10  2.974E+11  4.628E+10 1.782E-11  383.7
  120.0  4.916E+10  2.629E+11  4.012E+10 1.576E-11  399.8
  121.0  4.545E+10  2.335E+11  3.496E+10 1.401E-11  416.0
  122.0  4.214E+10  2.083E+11  3.061E+10 1.251E-11  432.2
  123.0  3.919E+10  1.868E+11  2.694E+10 1.123E-11  448.2
  124.0  3.653E+10  1.682E+11  2.381E+10 1.011E-11  464.0
  125.0  3.416E+10  1.521E+11  2.115E+10 9.156E-12  479.3
  126.0  3.202E+10  1.381E+11  1.886E+10 8.321E-12  494.3
  127.0  3.010E+10  1.258E+11  1.689E+10 7.591E-12  508.8
  128.0  2.835E+10  1.151E+11  1.518E+10 6.948E-12  523.0
  129.0  2.676E+10  1.055E+11  1.368E+10 6.380E-12  536.8
  130.0  2.531E+10  9.708E+10  1.238E+10 5.875E-12  550.2
  131.0  2.398E+10  8.953E+10  1.122E+10 5.425E-12  563.3
  132.0  2.276E+10  8.278E+10  1.021E+10 5.022E-12  576.1
  133.0  2.164E+10  7.671E+10  9.307E+09 4.660E-12  588.5
  134.0  2.060E+10  7.124E+10  8.506E+09 4.333E-12  600.6
  135.0  1.964E+10  6.629E+10  7.790E+09 4.038E-12  612.4
  136.0  1.875E+10  6.180E+10  7.150E+09 3.770E-12  623.8
  137.0  1.793E+10  5.772E+10  6.576E+09 3.526E-12  635.0
  138.0  1.715E+10  5.399E+10  6.059E+09 3.304E-12  645.9
  139.0  1.644E+10  5.059E+10  5.593E+09 3.100E-12  656.5
  140.0  1.576E+10  4.747E+10  5.171E+09 2.914E-12  666.8
  141.0  1.513E+10  4.460E+10  4.789E+09 2.742E-12  676.9
  142.0  1.454E+10  4.196E+10  4.442E+09 2.585E-12  686.7
  143.0  1.399E+10  3.953E+10  4.126E+09 2.439E-12  696.2
  144.0  1.346E+10  3.728E+10  3.838E+09 2.305E-12  705.5
  145.0  1.297E+10  3.520E+10  3.575E+09 2.180E-12  714.6
  146.0  1.251E+10  3.327E+10  3.334E+09 2.065E-12  723.4
  147.0  1.207E+10  3.148E+10  3.113E+09 1.957E-12  732.0
  148.0  1.165E+10  2.981E+10  2.911E+09 1.857E-12  740.4
  149.0  1.126E+10  2.826E+10  2.724E+09 1.764E-12  748.5
  150.0  1.088E+10  2.681E+10  2.552E+09 1.677E-12  756.4
  151.0  1.053E+10  2.546E+10  2.394E+09 1.596E-12  764.2
  152.0  1.019E+10  2.419E+10  2.247E+09 1.520E-12  771.7
  153.0  9.868E+09  2.300E+10  2.112E+09 1.449E-12  779.1
  154.0  9.561E+09  2.189E+10  1.986E+09 1.382E-12  786.2
  155.0  9.268E+09  2.085E+10  1.870E+09 1.319E-12  793.2
